Artist,ID,Unique Artists,Picture URL,Image Author,Image Source,Type
f(x),22,SF9,https://upload.wikimedia.org/wikipedia/commons/9/9e/%28TV10%29_SF9%28%EC%97%90%EC%8A%A4%EC%97%90%ED%94%84%EB%82%98%EC%9D%B8%29%2C_%EC%88%A8%EA%B2%A8%EC%99%94%EB%8D%98_%EB%A7%A4%EB%A0%A5%EC%9C%BC%EB%A1%9C_%E2%80%98%ED%8C%A1%ED%8C%8C%EB%A0%88%E2%80%99%EB%A5%BC_%EC%9A%B8%EB%A6%AC%EB%8B%A4_%28%EC%87%BC%EC%BC%80%EC%9D%B4%EC%8A%A4_%EC%9D%B8%ED%84%B0%EB%B7%B0_%EC%98%81%EC%83%81%29_%282%29_11s.jpg,tenasia,https://www.youtube.com/watch?v=DexXizbwlBM&t=1s,Boy Group
SISTAR,23,Wanna One,https://upload.wikimedia.org/wikipedia/commons/b/b8/Wanna_One_performing_at_INK_Concert_2017_05.png,DaftTaengk,https://www.youtube.com/watch?v=cgAzYz7fR3I,Boy Group
Big Bang,24,SEVENTEEN,https://upload.wikimedia.org/wikipedia/commons/2/26/Seventeen_performing_Don%27t_Wanna_Cry_at_Dream_Concert_2017_02.png,DaftTaengk,https://www.youtube.com/watch?v=LosAUKG2fBg,Boy Group
EXO,25,Dreamcatcher,https://upload.wikimedia.org/wikipedia/commons/3/3a/170822_%EC%83%81%EC%95%94_%EB%93%9C%EB%A6%BC%EC%BA%90%EC%B3%90_%EC%A7%81%EC%BA%A0_18_DREAMCATCHER_tbs_%ED%8C%A9%ED%8A%B8in%EC%8A%A4%ED%83%80_10s.jpg,Ellin Y,https://www.youtube.com/watch?v=fPJe_3cw9PQ,Girl Group
BTS,26,K.A.R.D.,https://upload.wikimedia.org/wikipedia/commons/0/02/170108_%EB%A1%AF%EB%8D%B0%EC%9B%94%EB%93%9C_%EB%9D%BC%EC%9D%B4%EC%A7%95%EC%8A%A4%ED%83%80_-_K.A.R.D_Oh_NaNa_%EC%A7%81%EC%BA%A0_by_DaftTaengk_2m56s.jpg,DaftTaengk,https://www.youtube.com/watch?v=6qT9ikE_Y64,Co-Ed Group
APink,27,ASTRO,https://upload.wikimedia.org/wikipedia/commons/a/af/Astro_at_%22Dream_Part._01%22_Showcase.png,tenasia,https://www.youtube.com/watch?v=j7wxUVhXveo,Boy Group
EXID,28,Pristin,https://upload.wikimedia.org/wikipedia/commons/5/57/170530_%EC%84%A0%ED%94%8C_%EC%BD%98%EC%84%9C%ED%8A%B8_-_%ED%94%84%EB%A6%AC%EC%8A%A4%ED%8B%B4_%27WEE_WOO%27_4K_%EC%A7%81%EC%BA%A0_by_DaftTaengk_1m9s.jpg,DaftTaengk,https://www.youtube.com/watch?v=mKUCJxGqshI,Girl Group
EXO,29,IOI,https://upload.wikimedia.org/wikipedia/commons/8/88/I.O.I_Seongnam_Park_160616_%281%29.png,DC C.YEON,http://docwa77.tistory.com/45,Girl Group
Girls' Generation,30,Eric Nam,https://upload.wikimedia.org/wikipedia/commons/4/41/EricNam_MexicoPhoto.png,Bekko12,https://commons.wikimedia.org/wiki/File:EricNam_MexicoPhoto.png,Solo
f(x),31,Sunmi,https://upload.wikimedia.org/wikipedia/commons/b/bf/180119_%EC%84%A0%EB%AF%B8_01.jpg,뉴스인스타,https://www.youtube.com/watch?v=rWwN3L1e9is,Solo
