ID,Song Title,Artist,Year,YouTube MV Link,MV Start Time (Min.Second),YouTube Dance Practice Link,Dance Practice Start Time (Min.Sec),Duration (Second),Difficulty
44,Hard Carry,GOT7,2016,https://youtu.be/O57jr1oZDIw,0.55,https://youtu.be/-XbNyh4GP-0,0.55,28,Hard
45,"Stop, Stop It",GOT7,2014,https://youtu.be/R_DX64EwH9M,2.05,https://youtu.be/EkedncBy90k,0.35,30,Medium
46,"Girls, Girls, Girls",GOT7,2014,https://youtu.be/2sAoKmg7qPI,2.1,https://youtu.be/ItPurkuV8ss,0.3,35,Medium
47,Easy Love,SF9,2017,https://youtu.be/YPl7Boo_1ZY,0.5,https://youtu.be/jqgbXcrzdnk,0.5,37,Hard
48,Fly,GOT7,2016,https://youtu.be/Q4vFviZ4qw0,0.5,https://youtu.be/6iOPQ-QPt3o,0.5,35,Hard
49,Hide and Seek,SF9,2017,https://youtu.be/A1PgetiyY2Y,0.5,https://youtu.be/Fbzg7mmxomI,0.55,30,Medium
50,O Sole Mio,SF9,2017,https://youtu.be/sUZeYOLp8Ys,0.4,https://youtu.be/5jrQQxTvwOc,0.4,49,Hard
51,Let's Hang Out,SF9,2017,https://youtu.be/dBHu2M7fT6w,1,https://youtu.be/em0M-KDJ8EU,1,35,Medium
52,Energetic ,Wanna One,2017,https://youtu.be/EVaV7AwqBWg,0.5,https://youtu.be/UeekjXMmv38,0.4,38,Hard
53,Beautiful,Wanna One,2017,https://youtu.be/xXWyJEo6VgA,1.05,https://youtu.be/DmdezafV6ko,0.55,35,Medium
54,Burn It Up,Wanna One,2017,https://youtu.be/XwGqz8BhHho,1.15,https://youtu.be/hqeEcAfHggI,0.55,40,Hard
55,Don't Wanna Cry,SEVENTEEN,2017,https://youtu.be/zEkg4GBQumc,0.5,https://youtu.be/aJ55DJE4Os4,0.5,29,Hard
56,Highlight,SEVENTEEN,2016,https://youtu.be/A956lNNVTz0,0.55,https://youtu.be/rtb6fygfAQ0,0.55,35,Hard
57,Boom Boom,SEVENTEEN,2016,https://youtu.be/IzplmS-VeBc,0.55,https://youtu.be/aJgedY9KXaQ,0.57,46,Medium
58,Chase Me,Dreamcatcher,2017,https://youtu.be/zihoyz0u_cs,1.05,https://youtu.be/ik93LU-xpWc,0.45,29,Hard
59,Adore U,SEVENTEEN,2015,https://youtu.be/9rUFQJrCT7M,0.4,https://youtu.be/wPYLRdLZ5ts,1.1,27,Medium
60,Peek-A-Boo,Red Velvet,2017,https://youtu.be/6uJf2IT2Zh8,0.51,https://youtu.be/n-3nhk2Y5bs,0.51,25,Hard
61,Pretty U,SEVENTEEN,2016,https://youtu.be/J5juKw-mnGw,0.5,https://youtu.be/TpHfh9VUOek,0.5,35,Easy
62,Mansae,SEVENTEEN,2015,https://youtu.be/9M7k9ZV67c0,1.15,https://youtu.be/_gDYkYIApNQ,1.1,28,Medium
63,Very Nice ,SEVENTEEN,2016,https://youtu.be/J-wFp43XOrA,0.3,https://youtu.be/A1gJQpMSkEU,1.2,24,Medium
64,Oh NaNa,K.A.R.D.,2016,https://youtu.be/yPTcKSVAEvA,0.4,https://youtu.be/mQHtfuydbWg,0.4,46.5,Medium
65,Hola Hola,K.A.R.D.,2017,https://youtu.be/USx4WyrkfU4,1.05,https://youtu.be/M-yisTfIVT4,0.55,30,Medium
66,Don't Recall,K.A.R.D.,2017,https://youtu.be/41Dp7Q-SM1Y,0.5,https://youtu.be/CvVBQ6n9o_0,0.5,50,Medium
67,You In Me,K.A.R.D.,2017,https://youtu.be/t1aGbpn-NUI,1.15,https://youtu.be/vvKkaCkWjvY,1.15,32,Medium
68,RUMOR,K.A.R.D.,2017,https://youtu.be/8LPjJ1p4dYs,1.15,https://youtu.be/hJ43--ds4eg,1.05,17,Medium
69,Never Ever,GOT7,2017,https://youtu.be/IZ1t7CwfvEc,0.55,https://youtu.be/gKDFJ7hb36E,0.55,24.5,Medium
70,AS IF IT'S YOUR LAST,BLACKPINK,2017,https://youtu.be/Amq-qlqbjYA,0.59,https://youtu.be/hKUJmA9O6iA,1.01,36,Medium
